,Municipality,Type[1],County[2],Form of government[1],Population (2020)[2],Total area,,,Year established[3]
0,Abington,Town,Plymouth,Open town meeting,17062,9.9 sq mi ,25.64 km2),,1712
1,Acton,Town,Middlesex,Open town meeting,24021,20.3 sq mi ,52.58 km2),,1735
2,Acushnet,Town,Bristol,Open town meeting,10559,19.0 sq mi ,49.21 km2),,1860
3,Adams,Town,Berkshire,Representative town meeting,8166,23.0 sq mi ,59.57 km2),,1778
4,Agawam,City[a],Hampden,Mayor-Council,28692,24.3 sq mi ,62.94 km2),,1855
5,Alford,Town,Berkshire,Open town meeting,486,11.5 sq mi ,29.78 km2),,1773
6,Amesbury,City,Essex,Mayor-Council,17366,13.7 sq mi ,35.48 km2),,1668
7,Amherst,City[a][5],Hampshire,Manager-Council,39263,27.7 sq mi ,71.74 km2),,1775
8,Andover,Town,Essex,Open town meeting,36569,32.1 sq mi ,83.14 km2),,1646
9,Aquinnah,Town,Dukes,Open town meeting,439,40.8 sq mi ,105.67 km2),,1870
10,Arlington,Town,Middlesex,Representative town meeting,46308,5.5 sq mi ,14.24 km2),,1807
11,Ashburnham,Town,Worcester,Open town meeting,6315,41.0 sq mi ,106.19 km2),,1765
12,Ashby,Town,Middlesex,Open town meeting,3193,24.2 sq mi ,62.68 km2),,1767
13,Ashfield,Town,Franklin,Open town meeting,1695,40.3 sq mi ,104.38 km2),,1765
14,Ashland,Town,Middlesex,Open town meeting,18832,12.9 sq mi ,33.41 km2),,1846
15,Athol,Town,Worcester,Open town meeting,11945,33.4 sq mi ,86.51 km2),,1762
16,Attleboro,City,Bristol,Mayor-Council,46461,27.8 sq mi ,72.00 km2),,1694
17,Auburn,Town,Worcester,Representative town meeting,16889,16.4 sq mi ,42.48 km2),,1778
18,Avon,Town,Norfolk,Open town meeting,4777,4.6 sq mi ,11.91 km2),,1888
19,Ayer,Town,Middlesex,Open town meeting,8479,9.6 sq mi ,24.86 km2),,1871
20,Barnstable,City[a],Barnstable (seat),Manager-Council,48916,76.5 sq mi ,198.13 km2),,1639
21,Barre,Town,Worcester,Open town meeting,5530,44.6 sq mi ,115.51 km2),,1774
22,Becket,Town,Berkshire,Open town meeting,1931,47.8 sq mi ,123.80 km2),,1765
23,Bedford,Town,Middlesex,Open town meeting,14383,13.9 sq mi ,36.00 km2),,1729
24,Belchertown,Town,Hampshire,Open town meeting,15350,55.4 sq mi ,143.49 km2),,1761
25,Bellingham,Town,Norfolk,Open town meeting,16945,19.0 sq mi ,49.21 km2),,1719
26,Belmont,Town,Middlesex,Representative town meeting,27295,4.7 sq mi ,12.17 km2),,1859
27,Berkley,Town,Bristol,Open town meeting,6764,17.4 sq mi ,45.07 km2),,1735
28,Berlin,Town,Worcester,Open town meeting,3158,13.1 sq mi ,33.93 km2),,1812
29,Bernardston,Town,Franklin,Open town meeting,2102,23.4 sq mi ,60.61 km2),,1762
30,Beverly,City,Essex,Mayor-Council,42670,22.6 sq mi ,58.53 km2),,1668
