DATE,federal_gov_interest_payment
2012-01-01,428.343
2012-04-01,424.345
2012-07-01,420.974
2012-10-01,416.834
2013-01-01,411.052
2013-04-01,412.508
2013-07-01,416.742
2013-10-01,425.001
2014-01-01,431.952
2014-04-01,440.027
2014-07-01,442.107
2014-10-01,442.283
2015-01-01,428.689
2015-04-01,425.877
2015-07-01,427.881
2015-10-01,434.682
2016-01-01,446.225
2016-04-01,453.291
2016-07-01,457.514
2016-10-01,460.184
2017-01-01,460.669
2017-04-01,471.214
2017-07-01,481.457
2017-10-01,493.441
2018-01-01,507.619
2018-04-01,531.778
2018-07-01,551.891
2018-10-01,571.229
2019-01-01,579.823
2019-04-01,586.628
2019-07-01,578.521
2019-10-01,564.484
2020-01-01,544.307
2020-04-01,515.005
2020-07-01,508.545
2020-10-01,517.691
2021-01-01,535.013
2021-04-01,562.175
2021-07-01,588.925
2021-10-01,612.169
2022-01-01,635.564
